"규모별","학력별","성별","연령",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"규모별","학력별","성별","연령",평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),근로자수 (명)
"전규모(5 인 이상)","전학력","전체","전체",42.6,6.7,19.9,163.6,153.1,10.5,3.3,3720,3259,3042,216,461,5537,10846459,42.9,6.8,21.7,176.7,167.7,9.0,2.2,3757,3318,3118,200,439,5268,11061775,43.4,7.0,21.8,177.5,167.9,9.6,2.3,3858,3443,3222,221,415,4981,11215215,43.8,7.2,20.3,166.0,156.1,9.9,2.9,4091,3616,3377,239,475,5700,11686935
"1 규모(5 ~ 9인)","전학력","전체","전체",44.5,5.0,20.1,159.4,156.0,3.4,1.1,2858,2687,2628,59,171,2053,1939606,44.6,5.3,21.9,173.4,170.2,3.2,0.8,2987,2811,2751,60,177,2120,1879878,45.4,5.6,22.0,172.7,169.4,3.3,0.8,3042,2875,2808,67,167,2005,1924704,45.8,5.8,20.4,160.9,157.6,3.3,1.0,3185,3008,2940,67,178,2132,1928568
"2 규모 (10 ~ 29인)","전학력","전체","전체",43.8,5.3,19.9,162.0,153.7,8.3,2.6,3232,2980,2831,148,252,3028,2698037,43.9,5.5,21.8,175.9,168.8,7.1,1.7,3281,3031,2900,132,249,2991,2804374,44.4,5.7,21.9,176.6,169.1,7.5,1.8,3408,3163,3017,146,245,2942,2905897,45.0,5.8,20.4,165.1,157.0,8.1,2.3,3570,3303,3138,165,267,3209,3002630
"3 규모(30 ~ 99 인)","전학력","전체","전체",42.9,6.1,19.9,165.0,151.9,13.2,4.2,3399,3123,2881,241,276,3318,2428537,43.7,6.1,21.8,176.4,165.8,10.6,2.7,3382,3105,2892,212,277,3325,2517498,44.0,6.4,21.9,178.7,166.8,11.9,2.9,3522,3246,2999,247,276,3308,2529809,44.7,6.5,20.5,167.0,155.0,12.0,3.2,3650,3379,3121,257,271,3256,2658735
"4 규모(100 ~ 299 인)","전학력","전체","전체",41.7,7.3,20.1,168.5,152.1,16.3,5.0,3857,3406,3077,329,451,5413,1632216,41.9,7.2,21.7,180.2,167.8,12.4,3.0,3809,3412,3143,269,398,4770,1733349,42.3,7.5,21.8,180.8,168.5,12.3,2.6,3957,3556,3271,285,400,4802,1705413,42.5,7.6,20.5,170.0,157.0,13.0,4.3,4210,3755,3436,319,455,5460,1765119
"5 규모(300 ~ 499 인)","전학력","전체","전체",40.4,8.4,19.5,163.2,152.0,11.2,3.4,4420,3771,3501,270,649,7792,540298,40.4,8.5,21.3,176.9,166.2,10.7,2.4,4396,3779,3490,289,617,7399,497002,40.9,8.7,21.6,180.1,168.1,12.0,3.1,4513,3933,3618,315,580,6966,494151,41.2,8.9,20.2,171.0,156.8,14.2,3.6,4685,4078,3715,363,607,7281,530513
"6 규모(500인 이상)","전학력","전체","전체",39.5,10.7,19.6,164.4,152.1,12.3,3.9,5690,4300,3952,348,1389,16672,1607764,39.9,11.1,21.3,178.6,166.4,12.2,2.9,5794,4485,4125,360,1308,15699,1629674,40.3,11.2,21.2,178.4,165.0,13.5,3.6,5815,4634,4235,399,1181,14172,1655241,40.5,11.2,19.8,166.2,153.4,12.8,3.9,6289,4869,4463,406,1421,17051,1801370
